date,open,high,low,close,adjclose,volume
7/30/2020,94.1875,96.29750061,93.76750183,96.19000244,94.71452332,158130000
7/31/2020,102.8850021,106.4150009,100.8249969,106.2600021,104.6300735,374336800
8/3/2020,108.1999969,111.6374969,107.8925018,108.9375,107.2664948,308151200
8/4/2020,109.1324997,110.7900009,108.3874969,109.6650009,107.9828262,173071600
8/5/2020,109.3775024,110.3925018,108.8974991,110.0625,108.3742371,121776800
8/6/2020,110.4049988,114.4124985,109.7975006,113.9024963,112.1553268,202428800
8/7/2020,113.2050018,113.6750031,110.2925034,111.1125031,109.6054001,198045600
8/10/2020,112.5999985,113.7750015,110,112.7275009,111.1984711,212403600
8/11/2020,111.9700012,112.4824982,109.1074982,109.375,107.891449,187902400
8/12/2020,110.4974976,113.2750015,110.2975006,113.0100021,111.4771423,165598000
8/13/2020,114.4300003,116.0425034,113.9274979,115.0100021,113.4500275,210082000
8/14/2020,114.8300018,115,113.0449982,114.9075012,113.3489151,165565200
8/17/2020,116.0625,116.0875015,113.9625015,114.6074982,113.0530014,119561600
8/18/2020,114.3525009,116,114.0074997,115.5625,113.9950333,105633600
8/19/2020,115.9824982,117.1624985,115.6100006,115.7074966,114.1380615,145538000
8/20/2020,115.75,118.3925018,115.7324982,118.2750015,116.6707458,126907200
8/21/2020,119.2624969,124.8675003,119.25,124.3700027,122.6830521,338054800
8/24/2020,128.6974945,128.7850037,123.9375,125.8574982,124.1503906,345937600
8/25/2020,124.6975021,125.1800003,123.0524979,124.8249969,123.131897,211495600
8/26/2020,126.1800003,126.9925003,125.0824966,126.5224991,124.8063736,163022400
8/27/2020,127.1425018,127.4850006,123.8324966,125.0100021,123.3143997,155552400
8/28/2020,126.0124969,126.4424973,124.5774994,124.8075027,123.1146317,187630000
8/31/2020,127.5800018,131,126,129.0399933,127.289711,225702700
9/1/2020,132.7599945,134.8000031,130.5299988,134.1799927,132.3600006,151948100
9/2/2020,137.5899963,137.9799957,127,131.3999939,129.617691,200119000
9/3/2020,126.9100037,128.8399963,120.5,120.8799973,119.2404022,257599600
9/4/2020,120.0699997,123.6999969,110.8899994,120.9599991,119.3193207,332607200
9/8/2020,113.9499969,118.9899979,112.6800003,112.8199997,111.2897339,231366600
9/9/2020,117.2600021,119.1399994,115.2600021,117.3199997,115.7286987,176940500
9/10/2020,120.3600006,120.5,112.5,113.4899979,111.9506454,182274400
9/11/2020,114.5699997,115.2300034,110,112,110.4808502,180860300
